index,path,folder,description,prompt,filename
89,services/cyber-security-services/firewall-setup,images/services/cyber-security-services/firewall-setup,Firewall setup and configuration,"Professional illustration of cybersecurity concept - firewall setup - Firewall setup and configuration. Digital shield, lock icons, network protection visualization. Blue and dark theme. Modern, corporate style. No text, no logos, no watermarks.",images/services/cyber-security-services/firewall-setup/hero.png
90,services/cyber-security-services/firewall-management,images/services/cyber-security-services/firewall-management,Firewall management service,"Professional illustration of cybersecurity concept - firewall management - Firewall management service. Digital shield, lock icons, network protection visualization. Blue and dark theme. Modern, corporate style. No text, no logos, no watermarks.",images/services/cyber-security-services/firewall-management/hero.png
91,services/cyber-security-services/email-security,images/services/cyber-security-services/email-security,Email security and spam protection,"Professional illustration of cybersecurity concept - email security - Email security and spam protection. Digital shield, lock icons, network protection visualization. Blue and dark theme. Modern, corporate style. No text, no logos, no watermarks.",images/services/cyber-security-services/email-security/hero.png
92,services/cyber-security-services/phishing-protection,images/services/cyber-security-services/phishing-protection,Phishing protection services,"Professional illustration of cybersecurity concept - phishing protection - Phishing protection services. Digital shield, lock icons, network protection visualization. Blue and dark theme. Modern, corporate style. No text, no logos, no watermarks.",images/services/cyber-security-services/phishing-protection/hero.png
93,services/cyber-security-services/security-monitoring,images/services/cyber-security-services/security-monitoring,24/7 security monitoring,"Professional illustration of cybersecurity concept - security monitoring - 24/7 security monitoring. Digital shield, lock icons, network protection visualization. Blue and dark theme. Modern, corporate style. No text, no logos, no watermarks.",images/services/cyber-security-services/security-monitoring/hero.png
94,services/cybersecurity-services/security-audit,images/services/cybersecurity-services/security-audit,Security audit and assessment,"Professional illustration of cybersecurity concept - security audit - Security audit and assessment. Digital shield, lock icons, network protection visualization. Blue and dark theme. Modern, corporate style. No text, no logos, no watermarks.",images/services/cybersecurity-services/security-audit/hero.png
95,services/cybersecurity-services/vulnerability-assessment,images/services/cybersecurity-services/vulnerability-assessment,Vulnerability assessment service,"Professional illustration of cybersecurity concept - vulnerability assessment - Vulnerability assessment service. Digital shield, lock icons, network protection visualization. Blue and dark theme. Modern, corporate style. No text, no logos, no watermarks.",images/services/cybersecurity-services/vulnerability-assessment/hero.png
96,services/cybersecurity-services/incident-response,images/services/cybersecurity-services/incident-response,Cybersecurity incident response,"Professional illustration of cybersecurity concept - incident response - Cybersecurity incident response. Digital shield, lock icons, network protection visualization. Blue and dark theme. Modern, corporate style. No text, no logos, no watermarks.",images/services/cybersecurity-services/incident-response/hero.png
97,services/business-it-services/small-business-it-support,images/services/business-it-services/small-business-it-support,Small business IT support,"Professional photo of IT professionals providing small business it support - Small business IT support in a modern office. Business casual attire, server room or office setting. Blue and white corporate style. No text, no logos, no watermarks.",images/services/business-it-services/small-business-it-support/hero.png
98,services/cybersecurity-services/external-drive-recovery,images/services/cybersecurity-services/external-drive-recovery,External drive recovery (security),"Professional illustration of cybersecurity concept - external drive recovery - External drive recovery (security). Digital shield, lock icons, network protection visualization. Blue and dark theme. Modern, corporate style. No text, no logos, no watermarks.",images/services/cybersecurity-services/external-drive-recovery/hero.png
99,services/business-it-services/it-consulting,images/services/business-it-services/it-consulting,IT consulting services,"Professional photo of IT professionals providing it consulting - IT consulting services in a modern office. Business casual attire, server room or office setting. Blue and white corporate style. No text, no logos, no watermarks.",images/services/business-it-services/it-consulting/hero.png
100,services/business-it-services/business-continuity,images/services/business-it-services/business-continuity,Business continuity planning,"Professional photo of IT professionals providing business continuity - Business continuity planning in a modern office. Business casual attire, server room or office setting. Blue and white corporate style. No text, no logos, no watermarks.",images/services/business-it-services/business-continuity/hero.png
101,services/business-it-services/it-outsourcing,images/services/business-it-services/it-outsourcing,IT outsourcing services,"Professional photo of IT professionals providing it outsourcing - IT outsourcing services in a modern office. Business casual attire, server room or office setting. Blue and white corporate style. No text, no logos, no watermarks.",images/services/business-it-services/it-outsourcing/hero.png
102,services/business-it-services/office-it-setup,images/services/business-it-services/office-it-setup,Office IT setup and configuration,"Professional photo of IT professionals providing office it setup - Office IT setup and configuration in a modern office. Business casual attire, server room or office setting. Blue and white corporate style. No text, no logos, no watermarks.",images/services/business-it-services/office-it-setup/hero.png
103,services/computer-networking/wifi-setup,images/services/computer-networking/wifi-setup,WiFi setup and optimization,"Professional photo of network infrastructure - wifi setup - WiFi setup and optimization. Server rack, ethernet cables, network switches. Blue LED lighting. Clean, organized data center. No text, no logos, no watermarks.",images/services/computer-networking/wifi-setup/hero.png
104,services/computer-networking/router-setup,images/services/computer-networking/router-setup,Router setup and configuration,"Professional photo of network infrastructure - router setup - Router setup and configuration. Server rack, ethernet cables, network switches. Blue LED lighting. Clean, organized data center. No text, no logos, no watermarks.",images/services/computer-networking/router-setup/hero.png
105,services/computer-networking/network-troubleshooting,images/services/computer-networking/network-troubleshooting,Network troubleshooting service,"Professional photo of network infrastructure - network troubleshooting - Network troubleshooting service. Server rack, ethernet cables, network switches. Blue LED lighting. Clean, organized data center. No text, no logos, no watermarks.",images/services/computer-networking/network-troubleshooting/hero.png
106,services/computer-networking/business-network-installation,images/services/computer-networking/business-network-installation,Business network installation,"Professional photo of network infrastructure - business network installation - Business network installation. Server rack, ethernet cables, network switches. Blue LED lighting. Clean, organized data center. No text, no logos, no watermarks.",images/services/computer-networking/business-network-installation/hero.png
107,services/computer-networking/network-security,images/services/computer-networking/network-security,Network security setup,"Professional photo of network infrastructure - network security - Network security setup. Server rack, ethernet cables, network switches. Blue LED lighting. Clean, organized data center. No text, no logos, no watermarks.",images/services/computer-networking/network-security/hero.png
108,services/computer-networking/network-upgrade,images/services/computer-networking/network-upgrade,Network upgrade service,"Professional photo of network infrastructure - network upgrade - Network upgrade service. Server rack, ethernet cables, network switches. Blue LED lighting. Clean, organized data center. No text, no logos, no watermarks.",images/services/computer-networking/network-upgrade/hero.png
109,services/computer-networking/vpn-setup,images/services/computer-networking/vpn-setup,VPN setup for remote workers,"Professional photo of network infrastructure - vpn setup - VPN setup for remote workers. Server rack, ethernet cables, network switches. Blue LED lighting. Clean, organized data center. No text, no logos, no watermarks.",images/services/computer-networking/vpn-setup/hero.png
110,services/business-it-services/helpdesk-support,images/services/business-it-services/helpdesk-support,IT helpdesk support,"Professional photo of IT professionals providing helpdesk support - IT helpdesk support in a modern office. Business casual attire, server room or office setting. Blue and white corporate style. No text, no logos, no watermarks.",images/services/business-it-services/helpdesk-support/hero.png
111,services/business-it-services/server-management,images/services/business-it-services/server-management,Server management services,"Professional photo of IT professionals providing server management - Server management services in a modern office. Business casual attire, server room or office setting. Blue and white corporate style. No text, no logos, no watermarks.",images/services/business-it-services/server-management/hero.png
112,services/business-it-services/network-management,images/services/business-it-services/network-management,Network management services,"Professional photo of IT professionals providing network management - Network management services in a modern office. Business casual attire, server room or office setting. Blue and white corporate style. No text, no logos, no watermarks.",images/services/business-it-services/network-management/hero.png
113,services/business-it-services/it-maintenance,images/services/business-it-services/it-maintenance,IT maintenance and support plans,"Professional photo of IT professionals providing it maintenance - IT maintenance and support plans in a modern office. Business casual attire, server room or office setting. Blue and white corporate style. No text, no logos, no watermarks.",images/services/business-it-services/it-maintenance/hero.png
114,services/business-it-services/microsoft-365-support,images/services/business-it-services/microsoft-365-support,Microsoft 365 setup and support,"Professional photo of IT professionals providing microsoft 365 support - Microsoft 365 setup and support in a modern office. Business casual attire, server room or office setting. Blue and white corporate style. No text, no logos, no watermarks.",images/services/business-it-services/microsoft-365-support/hero.png
115,services/business-it-services/email-setup,images/services/business-it-services/email-setup,Business email setup,"Professional photo of IT professionals providing email setup - Business email setup in a modern office. Business casual attire, server room or office setting. Blue and white corporate style. No text, no logos, no watermarks.",images/services/business-it-services/email-setup/hero.png
116,services/business-it-services/remote-work-setup,images/services/business-it-services/remote-work-setup,Remote work IT setup,"Professional photo of IT professionals providing remote work setup - Remote work IT setup in a modern office. Business casual attire, server room or office setting. Blue and white corporate style. No text, no logos, no watermarks.",images/services/business-it-services/remote-work-setup/hero.png
117,services/phone-tablet-repair/iphone-repair,images/services/phone-tablet-repair/iphone-repair,iPhone repair services,"Professional photo of a technician repairing a iphone repair - iPhone repair services. Clean modern repair bench, precision tools, bright lighting. Mobile device repair center. No text, no logos, no watermarks.",images/services/phone-tablet-repair/iphone-repair/hero.png
118,services/phone-tablet-repair/android-repair,images/services/phone-tablet-repair/android-repair,Android phone repair,"Professional photo of a technician repairing a android repair - Android phone repair. Clean modern repair bench, precision tools, bright lighting. Mobile device repair center. No text, no logos, no watermarks.",images/services/phone-tablet-repair/android-repair/hero.png
119,services/phone-tablet-repair/tablet-screen-repair,images/services/phone-tablet-repair/tablet-screen-repair,Tablet screen repair,"Professional photo of a technician repairing a tablet screen repair - Tablet screen repair. Clean modern repair bench, precision tools, bright lighting. Mobile device repair center. No text, no logos, no watermarks.",images/services/phone-tablet-repair/tablet-screen-repair/hero.png
120,services/phone-tablet-repair/phone-battery-replacement,images/services/phone-tablet-repair/phone-battery-replacement,Phone battery replacement,"Professional photo of a technician repairing a phone battery replacement - Phone battery replacement. Clean modern repair bench, precision tools, bright lighting. Mobile device repair center. No text, no logos, no watermarks.",images/services/phone-tablet-repair/phone-battery-replacement/hero.png
121,services/phone-tablet-repair/charging-port-repair,images/services/phone-tablet-repair/charging-port-repair,Phone charging port repair,"Professional photo of a technician repairing a charging port repair - Phone charging port repair. Clean modern repair bench, precision tools, bright lighting. Mobile device repair center. No text, no logos, no watermarks.",images/services/phone-tablet-repair/charging-port-repair/hero.png
122,services/phone-tablet-repair/phone-water-damage,images/services/phone-tablet-repair/phone-water-damage,Phone water damage repair,"Professional photo of a technician repairing a phone water damage - Phone water damage repair. Clean modern repair bench, precision tools, bright lighting. Mobile device repair center. No text, no logos, no watermarks.",images/services/phone-tablet-repair/phone-water-damage/hero.png
123,services/phone-tablet-repair/phone-data-recovery,images/services/phone-tablet-repair/phone-data-recovery,Phone data recovery,"Professional photo showing data recovery process - phone data recovery - Phone data recovery. Clean room environment, specialized equipment, hard drives visible. Blue LED accents. Technical and professional atmosphere. No text, no logos, no watermarks.",images/services/phone-tablet-repair/phone-data-recovery/hero.png
